Date           ,Price          ,SuperTrend     ,LowerBand      ,UpperBand      
2022-12-22 19:00:00 -0500 EST,16821.16       ,false          ,NaN            ,17936.33       
2022-12-23 19:00:00 -0500 EST,16778.96       ,false          ,NaN            ,17936.33       
2022-12-24 19:00:00 -0500 EST,16835.29       ,false          ,NaN            ,17926.67       
2022-12-25 19:00:00 -0500 EST,16831.82       ,false          ,NaN            ,17774.27       
2022-12-26 19:00:00 -0500 EST,16918.18       ,false          ,NaN            ,17597.10       
2022-12-27 19:00:00 -0500 EST,16706.68       ,false          ,NaN            ,17560.11       
2022-12-28 19:00:00 -0500 EST,16547.07       ,false          ,NaN            ,17445.39       
2022-12-29 19:00:00 -0500 EST,16637.01       ,false          ,NaN            ,17302.15       
2022-12-30 19:00:00 -0500 EST,16608.07       ,false          ,NaN            ,17122.34       
2022-12-31 19:00:00 -0500 EST,16538.55       ,false          ,NaN            ,17122.34       
2023-01-01 19:00:00 -0500 EST,16619.10       ,false          ,NaN            ,17118.28       
2023-01-02 19:00:00 -0500 EST,16673.51       ,false          ,NaN            ,17118.28       
2023-01-03 19:00:00 -0500 EST,16674.62       ,false          ,NaN            ,17118.28       
2023-01-04 19:00:00 -0500 EST,16852.79       ,false          ,NaN            ,17118.28       
2023-01-05 19:00:00 -0500 EST,16830.21       ,false          ,NaN            ,17118.28       
2023-01-06 19:00:00 -0500 EST,16951.03       ,false          ,NaN            ,17118.28       
2023-01-07 19:00:00 -0500 EST,16943.68       ,false          ,NaN            ,17118.28       
2023-01-08 19:00:00 -0500 EST,17119.12       ,true           ,16433.77       ,NaN            
2023-01-09 19:00:00 -0500 EST,17180.07       ,true           ,16666.20       ,NaN            
2023-01-10 19:00:00 -0500 EST,17438.65       ,true           ,16681.92       ,NaN            
2023-01-11 19:00:00 -0500 EST,17942.07       ,true           ,16854.44       ,NaN            
2023-01-12 19:00:00 -0500 EST,18851.08       ,true           ,17404.77       ,NaN            
2023-01-13 19:00:00 -0500 EST,19926.86       ,true           ,17945.67       ,NaN            
2023-01-14 19:00:00 -0500 EST,20956.60       ,true           ,18842.68       ,NaN            
2023-01-15 19:00:00 -0500 EST,20879.09       ,true           ,19009.89       ,NaN            
2023-01-16 19:00:00 -0500 EST,21183.55       ,true           ,19134.02       ,NaN            
2023-01-17 19:00:00 -0500 EST,21136.85       ,true           ,19136.11       ,NaN            
2023-01-18 19:00:00 -0500 EST,20670.00       ,true           ,19136.11       ,NaN            
2023-01-19 19:00:00 -0500 EST,21073.94       ,true           ,19136.11       ,NaN            
2023-01-20 19:00:00 -0500 EST,22675.52       ,true           ,19136.11       ,NaN            
2023-01-21 19:00:00 -0500 EST,22775.95       ,true           ,19961.28       ,NaN            
2023-01-22 19:00:00 -0500 EST,22707.53       ,true           ,19961.28       ,NaN            
2023-01-23 19:00:00 -0500 EST,22915.96       ,true           ,20219.30       ,NaN            
2023-01-24 19:00:00 -0500 EST,22632.28       ,true           ,20406.05       ,NaN            
2023-01-25 19:00:00 -0500 EST,23055.14       ,true           ,20406.05       ,NaN            
2023-01-26 19:00:00 -0500 EST,23015.77       ,true           ,20443.17       ,NaN            
2023-01-27 19:00:00 -0500 EST,23073.88       ,true           ,20443.17       ,NaN            
2023-01-28 19:00:00 -0500 EST,23022.95       ,true           ,20575.90       ,NaN            
2023-01-29 19:00:00 -0500 EST,23753.07       ,true           ,20858.06       ,NaN            
2023-01-30 19:00:00 -0500 EST,22830.94       ,true           ,20858.06       ,NaN            
2023-01-31 19:00:00 -0500 EST,23124.41       ,true           ,20858.06       ,NaN            
2023-02-01 19:00:00 -0500 EST,23725.90       ,true           ,20899.11       ,NaN            
2023-02-02 19:00:00 -0500 EST,23425.28       ,true           ,21355.28       ,NaN            
2023-02-03 19:00:00 -0500 EST,23431.11       ,true           ,21355.28       ,NaN            
2023-02-04 19:00:00 -0500 EST,23323.74       ,true           ,21360.49       ,NaN            
2023-02-05 19:00:00 -0500 EST,22935.96       ,true           ,21360.49       ,NaN            
2023-02-06 19:00:00 -0500 EST,22761.75       ,true           ,21360.49       ,NaN            
2023-02-07 19:00:00 -0500 EST,23251.65       ,true           ,21360.49       ,NaN            
2023-02-08 19:00:00 -0500 EST,22964.52       ,true           ,21360.49       ,NaN            
2023-02-09 19:00:00 -0500 EST,21792.27       ,true           ,21360.49       ,NaN            
2023-02-10 19:00:00 -0500 EST,21626.91       ,true           ,21360.49       ,NaN            
2023-02-11 19:00:00 -0500 EST,21859.73       ,true           ,21360.49       ,NaN            
2023-02-12 19:00:00 -0500 EST,21782.41       ,true           ,21360.49       ,NaN            
2023-02-13 19:00:00 -0500 EST,21771.94       ,true           ,21360.49       ,NaN            
2023-02-14 19:00:00 -0500 EST,22197.99       ,true           ,21360.49       ,NaN            
2023-02-15 19:00:00 -0500 EST,24327.78       ,true           ,21360.49       ,NaN            
2023-02-16 19:00:00 -0500 EST,23538.46       ,true           ,21689.75       ,NaN            
2023-02-17 19:00:00 -0500 EST,24573.58       ,true           ,21689.75       ,NaN            
2023-02-18 19:00:00 -0500 EST,24631.24       ,true           ,21758.15       ,NaN            
2023-02-19 19:00:00 -0500 EST,24303.17       ,true           ,21942.22       ,NaN            
2023-02-20 19:00:00 -0500 EST,24839.51       ,true           ,21942.22       ,NaN            
2023-02-21 19:00:00 -0500 EST,24450.56       ,true           ,21942.22       ,NaN            
2023-02-22 19:00:00 -0500 EST,24186.76       ,true           ,21942.22       ,NaN            
2023-02-23 19:00:00 -0500 EST,23936.13       ,true           ,21942.22       ,NaN            
2023-02-24 19:00:00 -0500 EST,23191.44       ,true           ,21942.22       ,NaN            
2023-02-25 19:00:00 -0500 EST,23166.02       ,true           ,21942.22       ,NaN            
2023-02-26 19:00:00 -0500 EST,23558.71       ,true           ,21942.22       ,NaN            
2023-02-27 19:00:00 -0500 EST,23494.09       ,true           ,21942.22       ,NaN            
2023-02-28 19:00:00 -0500 EST,23130.52       ,true           ,21942.22       ,NaN            
2023-03-01 19:00:00 -0500 EST,23642.39       ,true           ,21942.22       ,NaN            
2023-03-02 19:00:00 -0500 EST,23465.47       ,true           ,21942.22       ,NaN            
2023-03-03 19:00:00 -0500 EST,22354.61       ,true           ,21942.22       ,NaN            
2023-03-04 19:00:00 -0500 EST,22347.06       ,true           ,21942.22       ,NaN            
2023-03-05 19:00:00 -0500 EST,22428.27       ,true           ,21942.22       ,NaN            
2023-03-06 19:00:00 -0500 EST,22410.30       ,true           ,21942.22       ,NaN            
2023-03-07 19:00:00 -0500 EST,22197.65       ,true           ,21942.22       ,NaN            
2023-03-08 19:00:00 -0500 EST,21711.17       ,false          ,NaN            ,23848.21       
2023-03-09 19:00:00 -0500 EST,20361.76       ,false          ,NaN            ,23145.51       
2023-03-10 19:00:00 -0500 EST,20152.38       ,false          ,NaN            ,22231.89       
2023-03-11 19:00:00 -0500 EST,20456.75       ,false          ,NaN            ,22231.89       
2023-03-12 20:00:00 -0400 EDT,21984.57       ,false          ,NaN            ,22231.89       
2023-03-13 20:00:00 -0400 EDT,24115.85       ,true           ,20194.98       ,NaN            
